Time,Close,High,Low,Open,EMA,Signal
1718863200,10378755.0,10399780.0,10348197.066655055,10348197.066655055,10329352.665499087,1
1718866800,10404269.25,10447489.0,10363476.033327527,10363476.033327527,10333441.149205005,1
1718870400,10428400.5,10448098.0,10383872.641663764,10383872.641663764,10336975.33943226,1
1718874000,10422345.25,10431297.0,10404527.0,10406136.570831882,10340623.13004276,1
1718877600,10469141.75,10523952.0,10414240.91041594,10414240.91041594,10347013.47788422,1
1718881200,10502840.25,10538385.0,10441691.33020797,10441691.33020797,10352417.145418173,1
1718884800,10480391.0,10511950.0,10449523.0,10472265.790103985,10357235.453440988,1
1718888400,10416146.25,10480413.0,10350000.0,10476328.395051993,10357300.2591884,1
1718892000,10331802.0,10446237.322525997,10278242.0,10446237.322525997,10356146.798043758,-1
1718895600,10327131.25,10389019.661262998,10302085.0,10389019.661262998,10354556.845179295,-1
1718899200,10311616.5,10358075.455631498,10273741.0,10358075.455631498,10353297.596348735,-1
1718902800,10325887.5,10346168.0,10297436.0,10334845.97781575,10352678.082766432,-1
1718906400,10347832.5,10368448.0,10330366.738907874,10330366.738907874,10352619.961873632,-1
1718910000,10342522.0,10355213.0,10313679.0,10339099.619453937,10352517.218270743,-1
1718913600,10354150.75,10373905.0,10336700.0,10340810.809726968,10352653.719515027,1
1718917200,10357122.75,10372158.0,10347480.779863484,10347480.779863484,10352648.946200714,-1
1718920800,10348839.0,10367750.0,10334997.0,10352301.764931742,10352155.928702647,-1
1718924400,10337403.75,10355218.0,10325805.0,10350570.382465871,10351228.833459407,-1
1718928000,10321979.25,10343987.066232935,10293029.0,10343987.066232935,10350273.310578646,-1
1718931600,10331443.75,10355000.0,10302806.0,10332983.158116467,10349913.808203014,-1
1718935200,10330778.25,10355956.0,10301277.0,10332213.454058234,10348927.933371523,-1
1718938800,10296589.5,10331949.0,10256325.0,10331495.852029117,10345962.5242197,-1
1718942400,10278429.5,10314042.676014557,10240000.0,10314042.676014557,10344036.189936575,-1
1718946000,10293857.5,10308118.0,10271912.0,10296236.088007279,10342252.770723376,-1
1718949600,10297545.0,10311810.0,10285463.0,10295046.79400364,10340374.152263638,-1
1718953200,10257811.0,10307018.0,10214878.0,10296295.89700182,10335457.518841535,-1
1718956800,10173388.75,10277053.448500909,10113001.0,10277053.448500909,10327265.616141867,-1
1718960400,10168898.0,10231177.0,10117766.0,10225221.099250454,10322278.140999049,-1
1718964000,10185913.5,10212995.0,10155573.0,10197059.549625227,10316502.566842224,-1
1718967600,10164934.75,10199999.0,10135000.0,10191486.524812613,10309962.819122922,-1
1718971200,10145624.5,10178210.637406306,10105140.0,10178210.637406306,10304083.532098493,-1
1718974800,10142133.5,10169503.0,10100000.0,10161917.568703152,10297609.275937768,-1
1718978400,10194155.5,10270750.0,10113639.0,10152025.534351576,10295869.421979425,-1
1718982000,10206276.5,10272342.0,10130286.0,10173090.517175788,10290903.366215527,-1
